0,1,2
203,10.0,7.0
191,6.0,19.0
231,12.0,26.0
501,29.0,63.0
428,23.0,24.0
479,27.0,17.0
477,29.0,23.0
416,20.0,21.0
515,27.0,65.0
479,70.0,35.0
468,41.0,19.0
466,58.0,34.0
421,24.0,22.0
473,21.0,22.0
456,49.0,23.0
436,48.0,25.0
460,45.0,37.0
470,34.0,43.0
114,20.0,5.0
94,14.0,6.0
119,12.0,38.0
145,20.0,17.0
166,34.0,11.0
141,14.0,41.0
95,19.0,8.0
172,32.0,11.0
97,19.0,10.0
123,12.0,11.0
146,24.0,12.0
134,22.0,16.0
129,12.0,48.0
117,20.0,15.0
106,18.0,19.0
248,13.0,22.0
224,12.0,8.0
243,11.0,9.0
249,14.0,7.0
239,20.0,7.0
247,13.0,23.0
223,13.0,13.0
217,14.0,6.0
246,12.0,12.0
195,11.0,10.0
234,17.0,7.0
245,18.0,5.0
213,11.0,11.0
211,11.0,7.0
224,10.0,20.0
113,12.0,4.0
131,24.0,4.0
146,24.0,2.0
132,24.0,8.0
130,22.0,14.0
105,13.0,5.0
125,23.0,7.0
127,24.0,5.0
113,13.0,2.0
124,13.0,1.0
134,16.0,11.0
103,9.0,5.0
138,28.0,12.0
117,13.0,2.0
152,18.0,20.0
142,28.0,7.0
166,13.0,42.0
329,29.0,125.0
159,14.0,55.0
163,20.0,36.0
128,12.0,64.0
160,17.0,38.0
341,32.0,98.0
165,17.0,60.0
159,20.0,55.0
346,33.0,99.0
156,15.0,39.0
157,17.0,64.0
153,15.0,47.0
117,18.0,54.0
137,23.0,70.0
150,19.0,48.0
128,19.0,72.0
130,18.0,56.0
120,19.0,52.0
120,21.0,56.0
128,16.0,57.0
113,16.0,62.0
142,22.0,50.0
153,19.0,52.0
126,18.0,51.0
144,20.0,64.0
129,19.0,49.0
120,19.0,61.0
184,8.0,6.0
134,9.0,6.0
191,10.0,8.0
133,8.0,22.0
149,14.0,8.0
154,7.0,8.0
128,11.0,3.0
153,9.0,5.0
146,11.0,10.0
174,12.0,29.0
149,10.0,25.0
144,4.0,8.0
190,7.0,9.0
113,10.0,5.0
175,18.0,14.0
203,15.0,7.0
207,24.0,7.0
171,21.0,12.0
204,26.0,14.0
207,18.0,9.0
160,17.0,6.0
206,20.0,5.0
151,23.0,12.0
202,18.0,10.0
156,20.0,13.0
176,16.0,8.0
145,16.0,9.0
94,13.0,7.0
127,13.0,6.0
83,13.0,9.0
74,18.0,9.0
86,10.0,19.0
99,15.0,11.0
97,18.0,13.0
107,12.0,4.0
91,21.0,8.0
122,15.0,4.0
99,13.0,8.0
97,13.0,18.0
101,15.0,13.0
94,18.0,3.0
88,11.0,2.0
168,24.0,61.0
140,16.0,74.0
142,22.0,12.0
122,15.0,15.0
132,13.0,
124,7.0,1.0
154,25.0,15.0
151,21.0,73.0
113,16.0,5.0
102,13.0,5.0
143,13.0,
142,17.0,8.0
159,18.0,3.0
128,14.0,3.0
124,11.0,6.0
155,19.0,9.0
161,20.0,22.0
145,18.0,10.0
128,10.0,5.0
130,20.0,4.0
154,26.0,5.0
149,27.0,5.0
134,21.0,5.0
154,21.0,79.0
129,15.0,10.0
158,23.0,9.0
134,21.0,5.0
132,22.0,10.0
152,20.0,6.0
131,15.0,14.0
106,4.0,4.0
381,9.0,9.0
99,2.0,11.0
112,4.0,10.0
97,7.0,2.0
76,2.0,3.0
82,4.0,4.0
105,1.0,3.0
124,4.0,9.0
88,3.0,6.0
111,2.0,4.0
75,4.0,4.0
90,2.0,4.0
2606,227.0,147.0
426,31.0,8.0
433,42.0,8.0
441,36.0,13.0
389,28.0,7.0
392,29.0,11.0
365,24.0,13.0
408,15.0,28.0
444,15.0,39.0
330,6.0,13.0
245,17.0,18.0
461,21.0,48.0
171,20.0,13.0
212,11.0,17.0
163,20.0,13.0
121,2.0,7.0
99,,3.0
180,44.0,23.0
235,1.0,16.0
587,49.0,19.0
866,35.0,25.0
139,23.0,16.0
381,5.0,14.0
355,17.0,50.0
178,4.0,14.0
189,5.0,10.0
451,7.0,7.0
101,,3.0
160,41.0,18.0
228,22.0,14.0
143,14.0,14.0
268,2.0,12.0
379,44.0,29.0
194,4.0,7.0
208,18.0,25.0
