0,1,2
538,87.0,89.0
555,56.0,81.0
454,15.0,92.0
1519,90.0,239.0
432,17.0,96.0
457,19.0,80.0
438,11.0,84.0
420,16.0,87.0
256,40.0,61.0
246,54.0,71.0
241,55.0,78.0
259,52.0,80.0
236,49.0,61.0
252,54.0,59.0
325,74.0,42.0
340,89.0,87.0
344,82.0,77.0
312,66.0,46.0
316,81.0,88.0
350,77.0,57.0
275,35.0,84.0
300,37.0,78.0
280,43.0,74.0
309,34.0,67.0
272,36.0,82.0
266,41.0,84.0
1462,117.0,175.0
1175,113.0,201.0
684,118.0,121.0
1117,101.0,170.0
264,33.0,87.0
748,127.0,122.0
2304,121.0,223.0
816,47.0,132.0
1353,65.0,170.0
1045,44.0,134.0
674,40.0,103.0
458,31.0,84.0
569,66.0,157.0
543,80.0,142.0
578,80.0,152.0
597,58.0,137.0
582,74.0,140.0
220,43.0,87.0
353,29.0,49.0
369,30.0,51.0
370,30.0,38.0
443,25.0,55.0
380,36.0,50.0
477,22.0,54.0
140,16.0,56.0
153,16.0,56.0
149,17.0,54.0
150,15.0,49.0
139,21.0,51.0
276,45.0,44.0
330,38.0,32.0
255,57.0,46.0
322,53.0,31.0
297,55.0,53.0
582,15.0,34.0
517,19.0,27.0
575,19.0,28.0
661,20.0,47.0
628,21.0,46.0
680,23.0,46.0
413,56.0,113.0
427,62.0,97.0
388,67.0,108.0
386,61.0,73.0
392,69.0,85.0
391,56.0,115.0
156,48.0,42.0
1279,142.0,347.0
168,37.0,34.0
514,68.0,98.0
156,41.0,43.0
186,69.0,46.0
481,57.0,88.0
591,60.0,71.0
653,52.0,82.0
376,41.0,69.0
412,38.0,67.0
355,38.0,62.0
427,31.0,70.0
406,38.0,72.0
432,30.0,70.0
378,44.0,93.0
476,72.0,83.0
365,61.0,116.0
430,76.0,84.0
357,58.0,116.0
418,52.0,108.0
474,105.0,60.0
464,105.0,75.0
472,109.0,56.0
459,93.0,83.0
450,97.0,70.0
475,102.0,52.0
291,28.0,83.0
325,28.0,119.0
293,35.0,71.0
364,32.0,117.0
332,27.0,113.0
326,98.0,81.0
331,120.0,146.0
350,118.0,136.0
337,94.0,90.0
286,57.0,75.0
333,110.0,118.0
416,24.0,50.0
438,27.0,55.0
451,30.0,56.0
388,35.0,47.0
393,35.0,52.0
341,40.0,49.0
887,57.0,74.0
1010,43.0,85.0
932,52.0,68.0
1049,45.0,82.0
977,38.0,76.0
951,26.0,85.0
228,59.0,66.0
219,40.0,65.0
243,37.0,61.0
240,46.0,68.0
231,41.0,69.0
302,29.0,81.0
285,30.0,68.0
321,26.0,79.0
299,34.0,78.0
322,21.0,94.0
301,31.0,67.0
272,48.0,43.0
283,39.0,75.0
295,41.0,44.0
298,35.0,61.0
271,50.0,72.0
276,39.0,83.0
612,52.0,58.0
608,43.0,57.0
508,34.0,55.0
526,46.0,68.0
472,49.0,71.0
478,34.0,70.0
676,44.0,146.0
564,58.0,169.0
486,57.0,130.0
757,55.0,159.0
488,58.0,130.0
164,25.0,59.0
246,26.0,70.0
250,23.0,68.0
166,31.0,97.0
167,19.0,54.0
186,21.0,106.0
308,55.0,56.0
378,49.0,63.0
342,39.0,64.0
334,39.0,76.0
330,44.0,58.0
347,57.0,49.0
328,40.0,28.0
334,35.0,24.0
312,51.0,25.0
366,33.0,20.0
351,35.0,24.0
317,56.0,30.0
